graph_node,amazon_items,amazon_labels,mean_cosine
Bunk bed,9,2,0.8751
Slide,9,1,0.6112
Cd player,9,5,0.5423
Sugar bowl,9,2,0.8239
Door,9,2,0.6824
Dresser,9,1,1.0000
Flooring,9,3,0.6507
Cot,9,2,0.4696
Pots,9,4,0.7768
Nightstand,9,1,1.0000
Placemats,9,3,0.9162
Step stool,9,1,1.0000
Stools,9,1,1.0000
Teacups,9,5,0.8616
Toilet paper holder,9,7,0.7499
Washcloth,9,3,0.8681
Stone wall,8,5,0.6042
Bar stools,8,2,0.9452
Bath,8,2,0.6804
Water heater,8,5,0.7559
Cans,8,3,0.5267
Coaster,8,3,0.9175
Decorative pot,8,3,0.5988
Knife rack,8,2,0.8762
Knife block,8,4,0.8383
Luggage rack,8,1,1.0000
Radiator,8,1,1.0000
Slippers,8,6,0.6391
Plastic straws,8,2,0.7929
Waste basket,8,1,1.0000
Wastebasket,8,1,1.0000
Daybed,7,1,0.5952
Tree,7,5,0.7365
Fork,7,2,0.8904
Chopping board,7,5,0.8223
Knife holder,7,6,0.6976
Cutlery holder,7,2,0.8806
Dining chairs,7,2,0.8704
End table,7,3,0.7880
Refrigerator,7,1,1.0000
Toy,7,2,0.7581
Washcloths,7,5,0.7766
Spice jar,7,4,0.8457
Rope,7,2,0.5818
Artwork,6,4,0.8328
Papers,6,2,0.5894
Bean bag chair,6,2,0.9714
Chess set,6,5,0.5825
Candelabra,6,3,0.6317
Book,6,2,0.8109
Buffet,6,3,0.8906
Computer,6,3,0.5919
Croissant,6,1,0.6346
Dishrack,6,2,0.8129
Shoes,6,3,0.6822
Pepper shaker,6,3,0.4999
Shopping cart,6,2,0.8587
Music stand,6,2,0.7451
Stocking,6,1,0.6478
Storage bin,6,1,1.0000
Bathtub,5,4,0.8326
Beverage glass,5,3,0.8145
Chopping knife,5,3,0.5906
Decorative box,5,3,0.5959
Toothbrush,5,3,0.8401
Floor mat,5,4,0.8029
Recycling bin,5,4,0.7031
Conditioner,5,2,0.8674
Furniture,5,2,0.9259
Plastic bag,5,5,0.6551
Mirror,5,2,0.8255
Paper holder,5,2,0.8286
Pie,5,5,0.7054
Towel ring,5,4,0.6652
Rock,5,3,0.6162
Towel bar,5,2,0.8743
Storage bins,5,1,1.0000
Tissue,5,3,0.8361
Bathroom accessories,4,4,0.6252
Banister,4,2,0.4761
Bean bag,4,1,1.0000
Kitchen equipment,4,3,0.7054
Bidet,4,2,0.3733
Card,4,3,0.7306
Cake,4,4,0.7205
Cake stand,4,3,0.7708
Display case,4,2,0.6124
Photograph,4,1,0.4472
Striped cloth,4,2,0.5210
Wine bottles,4,4,0.6629
Crib,4,2,0.5125
Loft bed,4,3,0.7415
Shoe,4,4,0.6577
Food,4,4,0.5953
Fruit,4,4,0.7210
Boat,4,3,0.7097
Lamp,4,3,0.8884
Brick wall,4,2,0.4874
Roll toilet paper,4,3,0.5665
Guitar,4,1,0.4319
Tapestry,4,1,1.0000
Wall art,4,1,1.0000
Waste bin,4,3,0.8259
Apple,3,2,0.6265
Backpack,3,3,0.6936
Beads,3,3,0.7375
Beverage,3,3,0.6036
Bin,3,1,1.0000
Board,3,1,1.0000
Wreath,3,2,0.6418
Cable,3,3,0.6148
Decor,3,2,0.6090
Canopy,3,1,1.0000
Car toy,3,1,0.5271
Printer,3,2,0.5326
Frames,3,1,0.4824
Console,3,2,0.7397
Sugar packets,3,3,0.5787
Curtain,3,1,1.0000
Dish towel,3,2,0.7626
Towel mat,3,1,0.6699
Storage cart,3,2,0.8604
Mask,3,2,0.4401
Footstool,3,1,1.0000
Kitchen,3,3,0.6079
Sconce,3,2,0.4043
Hanging rack,3,2,0.8236
Kitchen island,3,1,1.0000
Maps,3,1,0.4566
Lotion bottle,3,2,0.6533
Lotion,3,2,0.6418
Magazine,3,2,0.7549
Colored pencils,3,1,0.5128
Microscope,3,2,0.4966
Shower valve,3,2,0.5140
Plant stand,3,1,1.0000
Vegetable,3,2,0.4800
Saddle,3,1,0.7557
Waterfall,3,1,0.3782
Stickers,3,2,0.8857
Table cloth,3,2,0.8287
Granite top,3,1,0.4422
Water glasses,3,1,0.5582
Wicker basket,3,2,0.4487
Electrical outlet,2,2,0.4688
Toothpaste,2,2,0.4637
Kitchen play set,2,2,0.6008
Wall cabinet,2,2,0.7684
Bar counter,2,1,0.5700
Barstool,2,2,0.7247
Bathroom,2,1,0.6918
Laptop,2,1,0.5190
Glass jug,2,1,0.5951
Cleaning bottle,2,2,0.7092
Block set,2,2,0.5032
Breads,2,2,0.6488
Broccoli,2,2,0.5668
Candle,2,2,0.8581
Candle holder,2,2,0.8207
Phone,2,1,0.4895
Planter,2,2,0.4754
Cleaning supplies,2,2,0.5554
Console table,2,1,1.0000
Counter,2,2,0.7512
Detergent,2,2,0.7798
Dining chair,2,1,1.0000
Dish soap,2,2,0.8681
Dishwasher,2,2,0.8798
Entertainment center,2,1,1.0000
Document,2,2,0.5715
Tent,2,2,0.8318
Fruit bowl,2,2,0.7818
Basket with handle,2,1,0.6786
Orange juice,2,1,0.6534
Knob,2,1,0.8984
Floral chair,2,1,0.4746
Floor cushion,2,2,0.5163
Chaise lounge,2,2,0.7619
Vases,2,2,0.4702
Glass containers,2,2,0.6530
Wall mount,2,2,0.8852
Napkin,2,1,0.8595
Cooking oil,2,1,0.6897
Drawers,2,1,0.5472
Pen,2,1,1.0000
Picture frame,2,1,1.0000
Fishing rod,2,1,0.7444
Train set,2,1,0.6590
Jacket,2,2,0.6110
Spice jars,2,2,0.8601
Pens,2,2,0.4292
Teapots,2,2,0.6545
Toilet paper,2,1,1.0000
Treadmill,2,1,0.5725
Umbrella,2,2,0.9467
Wall decor,2,1,1.0000
Wardrobe,2,1,1.0000
Window,2,2,0.6260
Tables,1,1,0.5182
Cookpot,1,1,0.5993
Alarm clock,1,1,0.8504
Armchair,1,1,1.0000
Art,1,1,1.0000
Audio equipment,1,1,0.6432
Star,1,1,0.4260
Bath products,1,1,0.6578
Bathmat,1,1,1.0000
Glass bottles,1,1,0.8569
Binder,1,1,1.0000
Biscuit,1,1,0.5302
Ornamental bowl,1,1,0.5622
Coffee mugs,1,1,0.5812
Gate,1,1,0.4719
Wooden chair,1,1,0.6500
Chalkboard,1,1,1.0000
Decorative plant,1,1,0.4594
Olive oil,1,1,0.4337
Figurine,1,1,0.5081
Stuffed dog,1,1,0.4792
Countertop,1,1,0.6900
Metallic counter,1,1,0.6224
Curtains,1,1,1.0000
Decorative objects,1,1,0.4372
Lamps,1,1,0.4634
Column,1,1,0.3266
Drinking glass,1,1,0.8718
Glass jar,1,1,0.7928
Dvds,1,1,0.5489
Floor,1,1,0.3764
Ceiling fan,1,1,0.6144
Storage cabinet,1,1,0.7488
Television,1,1,0.5764
Flowers,1,1,1.0000
Drums,1,1,0.5588
Folder,1,1,1.0000
Flower mat,1,1,0.6433
Makeup,1,1,0.4885
Paper towels,1,1,0.5816
Shoji screen,1,1,0.3879
Stroller,1,1,0.4940
Globe,1,1,1.0000
Playset,1,1,0.3902
Hand soap,1,1,0.8643
Handbag,1,1,1.0000
Hand towel,1,1,0.4786
Hat,1,1,1.0000
Footrest,1,1,0.6578
Doors,1,1,0.5346
Decorative sticks,1,1,0.6253
Range,1,1,0.4695
Balloon,1,1,0.4917
Mosquito net,1,1,0.5112
Comb,1,1,0.3988
Plastic container,1,1,0.4432
Stairs,1,1,0.4650
Light switch,1,1,0.5885
Lights,1,1,1.0000
Luggage,1,1,0.6637
Magazines,1,1,0.6539
Toy cow,1,1,0.3885
Menu,1,1,0.7094
Monitor,1,1,1.0000
Stereo,1,1,0.3737
Bar of soap,1,1,0.4664
Toy kitchen,1,1,0.4237
White plate,1,1,0.5774
Pantry,1,1,0.8570
Posters,1,1,0.3729
Pepper,1,1,0.7429
Photo frame,1,1,0.7111
Bicycle,1,1,0.4975
Lanterns,1,1,0.4103
Makeup products,1,1,0.3976
Remote control,1,1,1.0000
Backsplash,1,1,0.4298
Clothes,1,1,0.5996
Hanging clothes,1,1,0.5413
Roll of toilet paper,1,1,0.4724
Race track,1,1,0.6330
Dishware,1,1,0.6112
Shower head,1,1,0.8091
Showerhead,1,1,1.0000
Socks,1,1,0.8941
Dress form,1,1,0.3912
Statue,1,1,1.0000
Cooking pot,1,1,0.7148
Closet,1,1,0.7569
Storage cubes,1,1,1.0000
Window seat,1,1,0.6502
Trunk,1,1,0.7931
Note,1,1,0.4255
Rolling cart,1,1,0.4327
Wooden table,1,1,0.6768
Coffee can,1,1,0.3712
Ball,1,1,0.7376
Teaspoons,1,1,0.8820
Throw,1,1,1.0000
Shaving brush,1,1,0.6481
Toy storage,1,1,0.7351
Window treatment,1,1,0.5420
Wagon,1,1,0.5601
Media console,1,1,0.7393
Cooking utensil,1,1,0.8418
Vase,1,1,1.0000
Wall,1,1,0.7076
Washing machine,1,1,0.7662
Water pitcher,1,1,0.5660
Window curtain,1,1,0.6195
Decorative wreath,1,1,0.8256
