item,tier,pop_decile,train_pop,exposures,hits20_noobj_s0,hits20_noobj_s1,hits20_noobj_s2,hits20_control_s0,hits20_control_s1,hits20_control_s2,hits20_shufobj_s0,hits20_shufobj_s1,hits20_shufobj_s2
0,exact,7,12,1,0,0,0,0,0,0,0,0,0
1,exact,8,13,3,0,0,0,0,0,0,0,0,0
2,near,9,38,13,0,0,0,0,0,0,0,0,0
3,exact,2,3,2,0,0,0,0,0,0,0,0,0
5,exact,1,2,1,0,0,0,0,0,0,0,0,0
6,exact,2,3,3,0,0,0,0,0,0,0,0,0
7,exact,3,4,1,0,0,0,0,0,0,0,0,0
8,near,7,12,3,0,0,0,0,0,0,0,0,0
9,near,5,6,3,0,0,0,0,0,0,0,0,0
10,exact,0,1,3,0,0,0,0,0,0,0,0,0
11,exact,6,7,1,0,0,0,0,0,0,0,0,0
12,near,7,10,6,0,0,0,0,0,0,0,0,0
13,exact,6,8,2,0,0,0,0,0,0,0,0,0
14,exact,9,31,19,0,0,0,0,0,0,0,0,0
16,far,9,41,13,1,0,1,1,0,0,0,0,0
17,near,9,33,6,4,2,4,4,2,3,3,2,3
18,exact,6,7,2,0,0,0,0,0,0,0,0,0
20,exact,7,9,1,0,0,0,0,0,0,0,0,0
21,near,2,3,2,0,0,0,0,0,0,0,0,0
22,exact,3,4,2,0,0,0,0,0,0,0,0,0
23,exact,7,10,3,0,0,0,0,0,0,0,0,0
25,near,2,3,4,0,0,0,0,0,0,0,0,0
26,exact,8,16,7,0,0,0,0,0,0,0,0,0
27,exact,8,19,11,0,1,2,0,0,0,0,0,0
28,exact,1,2,2,0,0,0,0,0,0,0,0,0
30,exact,3,4,1,0,0,0,0,0,0,0,0,0
31,near,1,2,3,0,0,0,0,0,0,0,0,0
32,near,2,3,2,0,0,0,0,0,0,0,0,0
33,far,3,4,1,0,0,0,0,0,0,0,0,0
34,near,9,41,13,6,0,5,8,0,3,0,1,1
35,exact,7,10,3,1,0,1,0,0,0,0,0,0
36,exact,3,4,3,0,0,0,0,0,0,0,0,0
37,near,2,3,1,0,0,0,0,0,0,0,0,0
39,exact,3,4,2,0,0,0,0,0,0,0,0,0
40,exact,8,14,5,0,0,0,0,0,0,0,0,0
41,exact,9,24,3,1,1,1,1,0,1,0,0,1
42,exact,7,12,3,0,0,0,0,0,0,0,0,0
44,near,8,20,8,0,0,0,0,0,0,0,0,0
45,near,9,28,16,0,0,0,1,0,0,0,0,0
46,exact,3,4,1,0,0,0,0,0,0,0,0,0
47,near,9,27,8,0,0,0,0,0,0,0,0,0
48,exact,5,5,1,0,0,0,0,0,0,0,0,0
49,far,7,9,1,0,0,0,0,0,0,0,0,0
50,far,7,9,6,0,0,0,0,0,0,0,0,0
51,exact,7,9,4,0,0,0,0,0,0,0,0,0
52,far,5,6,3,0,0,0,0,1,0,0,0,0
53,exact,8,17,8,0,0,0,0,0,0,0,0,0
54,near,3,4,1,0,0,0,0,0,0,0,0,0
55,near,2,3,2,0,0,0,0,0,0,0,0,0
56,exact,7,9,1,0,0,0,0,0,0,0,0,0
58,near,5,5,2,0,0,0,0,0,0,0,0,0
59,exact,9,25,11,0,1,0,0,1,0,0,0,0
60,far,9,39,16,0,0,0,0,0,0,0,0,0
61,near,2,3,3,0,0,0,0,0,0,0,0,0
62,exact,0,0,1,0,0,0,0,0,0,0,0,0
63,exact,0,1,2,0,0,0,0,0,0,0,0,0
64,near,7,9,6,0,0,0,0,0,0,0,0,0
65,exact,9,73,25,2,1,3,1,1,2,2,1,3
66,far,8,14,4,0,0,0,0,0,0,0,0,0
68,near,8,15,8,1,1,1,1,1,1,1,1,1
69,far,7,12,5,0,0,0,0,0,0,0,0,0
70,exact,3,4,1,0,0,0,0,0,0,0,0,0
71,far,2,3,1,0,0,0,0,0,0,0,0,0
73,exact,6,8,2,0,0,0,0,0,0,0,0,0
74,near,5,5,1,0,0,0,0,0,0,0,0,0
75,exact,2,3,2,0,0,0,0,0,0,0,0,0
76,near,5,6,2,0,0,0,0,0,0,0,0,0
77,exact,2,3,2,0,0,0,0,0,0,0,0,0
78,exact,2,3,2,0,0,0,0,0,0,0,0,0
79,near,5,5,1,0,0,0,0,0,0,0,0,0
80,near,1,2,1,0,0,0,0,0,0,0,0,0
81,exact,6,8,1,0,0,0,0,0,0,0,0,0
82,exact,2,3,1,0,0,0,0,0,0,0,0,0
83,exact,2,3,4,0,0,0,0,0,0,0,0,0
84,near,9,29,10,1,1,0,1,0,0,1,1,1
85,exact,6,7,2,0,0,0,0,0,0,0,0,0
86,far,3,4,3,0,0,0,0,0,0,0,0,0
87,far,0,1,2,0,0,0,0,0,0,0,0,0
88,near,5,5,1,0,0,0,0,0,0,0,0,0
89,near,8,14,8,0,0,0,0,0,0,0,0,0
90,near,0,1,2,0,0,0,0,0,0,0,0,0
91,near,7,9,5,0,0,0,0,0,0,0,0,0
92,near,1,2,2,0,0,0,0,0,0,0,0,0
93,exact,8,20,3,0,0,0,0,0,0,0,0,0
94,near,1,2,1,0,0,0,0,0,0,0,0,0
95,near,2,3,1,0,0,0,0,0,0,0,0,0
97,far,8,15,15,0,0,0,0,0,0,0,0,0
98,far,3,4,6,0,0,0,0,0,0,0,0,0
100,exact,9,92,30,1,1,0,1,0,0,0,2,2
101,exact,5,6,2,0,0,0,0,0,0,0,0,0
103,near,7,10,2,0,0,0,0,0,0,0,0,0
104,near,2,3,1,0,0,0,0,0,0,0,0,0
107,exact,5,5,3,0,0,0,0,0,0,0,0,0
108,exact,1,2,2,0,0,0,0,0,0,0,0,0
109,exact,9,107,53,0,0,4,1,1,2,0,1,3
110,far,9,30,11,1,1,1,1,1,0,1,1,1
112,near,9,36,18,0,0,0,0,0,0,0,0,0
113,near,0,1,4,0,0,0,0,0,0,0,0,0
114,near,5,6,1,0,0,0,0,0,0,0,0,0
115,exact,2,3,1,0,0,0,0,0,0,0,0,0
116,exact,1,2,1,0,0,0,0,0,0,0,0,0
117,exact,1,2,2,0,0,0,0,0,0,0,0,0
118,near,2,3,1,0,0,0,0,0,0,0,0,0
119,near,8,14,3,3,3,3,3,3,3,3,0,3
120,near,6,8,3,0,0,0,0,0,0,0,0,0
121,exact,7,9,3,0,0,0,0,0,0,0,0,0
122,exact,6,8,7,0,0,0,0,0,0,0,0,0
123,near,1,2,2,0,0,0,0,0,0,0,0,0
124,near,7,12,3,0,0,0,0,0,0,0,0,0
125,exact,3,4,1,0,0,0,0,0,0,0,0,0
126,near,5,6,3,0,0,0,0,0,0,0,0,0
127,exact,1,2,1,0,0,0,0,0,0,0,0,0
128,far,5,6,1,0,0,0,0,0,0,0,0,0
129,near,6,7,1,0,0,0,0,0,0,0,0,0
132,near,7,10,2,0,0,0,0,0,0,0,0,0
133,near,6,7,1,0,0,0,0,0,0,0,0,0
134,exact,5,5,1,0,0,0,0,0,0,0,0,0
135,exact,9,22,4,0,0,0,0,0,0,0,0,0
136,exact,0,0,3,0,0,0,0,0,0,0,0,0
137,near,1,2,1,0,0,0,0,0,0,0,0,0
138,exact,1,2,2,0,0,0,0,0,0,0,0,0
139,near,5,5,2,0,0,0,0,0,0,0,0,0
140,exact,7,9,5,0,0,1,0,0,0,0,0,0
141,far,8,13,3,0,0,0,0,0,0,0,0,0
142,exact,5,5,1,0,0,0,0,0,0,0,0,0
143,exact,8,21,8,0,0,0,0,0,0,0,0,0
144,near,8,18,6,0,0,0,0,0,0,0,0,0
145,far,2,3,1,0,0,0,0,0,0,0,0,0
146,exact,1,2,1,0,0,0,0,0,0,0,0,0
148,near,7,11,9,0,0,0,0,0,0,0,0,0
149,far,8,14,8,0,0,0,0,0,0,0,0,0
150,exact,9,36,16,1,0,1,1,1,1,1,0,0
151,near,9,26,8,0,0,0,0,0,0,0,0,0
152,near,3,4,1,0,0,0,0,0,0,0,0,0
153,exact,7,9,3,0,0,0,0,0,0,0,0,0
154,far,9,35,7,0,0,0,0,0,0,0,0,0
155,near,7,9,2,0,1,0,0,0,0,0,0,0
156,near,5,5,7,0,0,0,0,0,0,0,0,0
157,exact,5,6,2,0,0,0,0,0,0,0,0,0
158,near,7,11,2,0,1,0,0,0,0,0,0,0
159,exact,3,4,4,0,0,0,0,0,0,0,0,0
161,near,6,7,1,0,0,0,0,0,0,0,0,0
162,exact,2,3,3,0,0,0,0,0,0,0,0,0
163,exact,3,4,1,0,0,0,0,0,0,0,0,0
164,exact,6,7,1,0,0,0,0,0,0,0,0,0
165,exact,5,6,2,0,0,0,0,0,0,0,0,0
166,near,8,18,8,1,0,0,0,0,0,1,0,0
167,near,5,5,2,0,0,0,0,0,0,0,0,0
168,exact,5,5,3,0,0,0,0,0,0,0,0,0
169,exact,3,4,1,0,0,0,0,0,0,0,0,0
170,exact,9,27,9,1,2,0,0,0,0,0,0,0
171,near,8,14,2,0,0,0,0,0,0,0,0,0
172,near,9,27,11,0,0,0,0,0,0,1,0,0
173,near,9,29,17,0,0,0,0,0,0,0,1,0
175,exact,3,4,1,0,0,0,0,0,0,0,0,0
177,exact,5,5,2,0,0,0,0,0,0,0,0,0
178,far,2,3,2,0,0,0,0,0,0,0,0,0
179,exact,2,3,1,0,0,0,0,0,0,0,0,0
180,near,6,7,2,0,0,0,0,0,0,0,0,0
181,near,9,23,4,0,0,0,0,0,0,0,0,0
182,exact,5,5,1,0,0,0,0,0,0,0,0,0
183,exact,1,2,1,0,0,0,0,0,0,0,0,0
184,exact,9,60,13,0,2,4,0,2,0,0,4,2
185,exact,5,6,4,1,1,1,1,1,1,1,1,1
186,exact,9,24,13,0,0,0,0,0,0,0,0,0
187,exact,2,3,3,0,0,0,0,0,0,0,0,0
188,near,6,7,8,0,0,0,0,0,0,0,0,0
189,near,8,19,4,0,0,0,0,0,0,0,0,0
190,near,1,2,2,0,0,0,0,0,0,0,0,0
192,exact,8,16,5,0,1,1,0,0,0,0,1,1
193,near,6,7,6,0,0,0,0,0,0,0,0,0
194,exact,5,5,2,0,0,0,0,0,0,0,0,0
195,exact,2,3,1,0,0,0,0,0,0,0,0,0
196,exact,3,4,4,0,0,0,0,0,0,0,0,0
201,near,8,19,3,0,0,0,0,0,0,0,0,0
202,exact,7,9,3,0,0,0,0,0,0,0,0,0
203,exact,7,9,1,0,0,0,0,0,0,0,0,0
204,far,3,4,1,0,0,0,0,0,0,0,0,0
205,exact,6,7,7,0,1,0,0,0,0,0,0,0
206,exact,9,22,5,1,0,0,0,0,0,0,0,0
207,exact,7,10,6,0,0,0,0,0,0,0,0,0
208,far,1,2,2,0,0,0,0,0,0,0,0,0
210,near,9,30,24,0,0,0,0,0,0,0,0,0
211,near,7,11,9,0,0,0,0,0,0,0,0,0
212,near,2,3,1,0,0,0,0,0,0,0,0,0
214,near,5,6,1,0,0,0,0,0,0,0,0,0
215,exact,5,5,1,0,0,0,0,0,0,0,0,0
216,far,3,4,1,0,0,0,0,0,0,0,0,0
217,near,8,13,3,0,0,0,0,0,0,0,0,0
219,exact,9,30,6,2,2,1,1,1,1,1,2,1
220,exact,5,6,2,0,0,0,0,0,0,0,0,0
221,exact,2,3,1,0,0,0,0,0,0,0,0,0
222,near,6,8,1,0,0,0,0,0,0,0,0,0
223,near,7,9,3,0,1,0,0,0,0,0,1,0
224,exact,2,3,1,0,0,0,0,0,0,0,0,0
225,exact,3,4,2,0,0,0,0,0,0,0,0,0
226,exact,8,20,1,0,0,0,0,0,0,0,0,0
227,near,1,2,2,0,0,0,0,0,0,0,0,0
228,near,5,6,2,0,0,0,0,0,0,0,0,0
229,exact,5,6,2,0,0,0,0,0,0,0,0,0
230,exact,5,5,4,3,2,2,3,2,2,3,2,2
231,exact,3,4,1,0,0,0,0,0,0,0,0,0
232,exact,5,5,2,0,0,0,0,0,0,0,0,0
233,exact,2,3,2,0,0,0,0,0,0,0,0,0
234,near,9,72,24,1,2,1,1,1,0,2,1,1
236,exact,8,14,4,0,0,0,0,0,0,0,0,0
237,exact,7,10,3,0,0,0,0,0,0,0,0,0
238,exact,7,11,4,0,0,0,0,0,0,0,0,0
239,exact,3,4,2,0,0,0,0,0,0,0,0,0
241,near,6,7,6,0,0,0,0,0,0,0,0,0
243,exact,3,4,1,0,0,0,0,0,0,0,0,0
244,near,8,13,5,0,0,0,0,0,0,0,0,0
245,near,9,24,9,0,0,1,1,0,0,0,0,0
246,near,7,9,6,0,0,0,0,0,0,0,0,0
247,near,8,15,1,0,0,0,0,0,0,0,0,0
248,near,7,10,2,0,0,0,0,0,0,0,0,0
249,near,7,12,2,0,0,0,0,0,0,0,0,0
250,near,6,8,2,0,0,0,0,0,0,0,0,0
252,exact,1,2,2,0,0,0,0,0,0,0,0,0
253,exact,0,1,4,0,0,0,0,0,0,0,0,0
254,near,5,5,4,0,0,0,0,0,0,0,0,0
255,far,7,10,1,0,0,0,0,0,0,0,0,0
256,far,2,3,2,0,0,0,0,0,0,0,0,0
257,far,8,19,8,1,1,1,1,1,1,1,1,1
258,near,7,11,4,0,0,0,0,0,0,0,0,0
259,exact,6,8,6,0,0,0,0,0,1,0,0,0
261,exact,8,14,5,0,0,0,0,0,0,0,0,0
262,exact,2,3,4,0,0,0,0,0,0,0,0,0
264,exact,2,3,1,0,0,0,0,0,0,0,0,0
265,near,5,5,1,0,0,0,0,0,0,0,0,0
267,exact,3,4,1,0,0,0,0,0,0,0,0,0
268,near,8,15,3,0,0,0,0,0,0,0,0,0
269,near,8,13,6,0,0,0,0,0,0,0,0,0
270,near,8,13,10,0,0,0,0,0,0,0,0,0
271,near,3,4,3,0,0,0,0,0,0,0,0,0
272,near,2,3,1,0,0,0,0,0,0,0,0,0
273,exact,9,85,21,5,7,3,3,6,5,3,4,1
274,exact,9,29,6,0,0,0,0,0,0,0,0,0
275,near,1,2,1,0,0,0,0,0,0,0,0,0
276,exact,2,3,2,0,0,0,0,0,0,0,0,0
277,exact,3,4,2,0,0,0,0,0,0,0,0,0
278,exact,7,9,4,0,0,0,0,0,0,0,0,0
279,near,8,18,6,0,0,0,0,0,0,0,1,0
281,exact,9,27,4,4,4,4,3,4,2,3,3,2
282,near,6,8,1,0,0,0,0,0,0,0,0,0
283,exact,7,12,4,0,0,0,0,0,0,0,0,0
284,near,2,3,2,0,0,0,0,0,0,0,0,0
285,near,7,10,2,0,0,0,0,0,0,0,0,0
286,exact,2,3,1,0,0,0,0,0,0,0,0,0
287,exact,7,10,2,0,0,0,0,0,0,0,0,0
288,near,1,2,1,0,0,0,0,0,0,0,0,0
289,near,9,57,23,1,1,0,0,1,0,2,1,1
291,far,8,14,11,0,0,0,0,0,0,0,0,0
292,exact,9,22,14,2,2,2,2,3,2,3,2,2
293,near,5,6,1,0,0,0,0,0,0,0,0,0
294,exact,9,47,16,0,2,0,0,0,1,0,0,1
295,near,5,5,1,0,0,0,0,0,0,0,0,0
297,exact,9,26,11,0,0,0,0,0,0,0,0,0
298,exact,2,3,1,0,0,0,0,0,0,0,0,0
299,exact,1,2,2,0,0,0,0,0,0,0,0,0
301,near,9,38,16,0,0,0,0,0,0,0,0,0
302,exact,9,23,17,0,0,0,0,0,0,0,0,0
303,near,1,2,1,0,0,0,0,0,0,0,0,0
304,far,1,2,3,0,0,0,0,0,0,0,0,0
305,near,7,11,3,0,0,0,0,0,0,0,0,0
307,exact,7,9,1,0,0,0,0,0,0,0,0,0
308,near,9,23,14,0,1,0,0,0,0,0,1,0
309,near,1,2,1,0,0,0,0,0,0,0,0,0
310,near,1,2,3,0,0,0,0,0,0,0,0,0
311,exact,8,14,6,0,0,0,0,0,0,0,0,0
312,exact,2,3,4,0,0,0,0,0,0,0,0,0
313,exact,7,11,3,0,0,0,0,0,0,0,0,0
314,near,7,10,2,0,0,0,0,0,0,0,0,0
315,exact,0,1,5,0,0,0,0,0,0,0,0,0
316,exact,7,12,8,0,0,0,0,0,0,1,0,0
317,exact,7,12,8,0,0,1,0,0,1,0,0,0
318,near,0,1,1,0,0,0,0,0,0,0,0,0
319,exact,7,9,1,0,1,0,1,1,0,0,0,0
321,far,8,19,5,0,0,0,0,0,0,0,0,0
322,near,6,7,1,0,0,0,0,0,0,0,0,0
323,near,8,15,5,0,0,0,0,0,0,0,0,0
324,exact,3,4,1,0,0,0,0,0,0,0,0,0
325,near,7,12,2,0,0,0,0,0,0,0,0,0
326,exact,8,13,9,1,1,1,0,1,0,1,1,1
327,exact,7,10,4,0,0,0,0,0,0,0,0,0
328,near,8,13,3,0,0,0,0,0,0,0,0,0
329,near,5,5,1,0,0,0,0,0,0,0,0,0
331,exact,9,232,83,20,15,14,14,12,14,15,14,14
332,exact,8,20,11,0,0,0,0,0,0,0,0,0
333,near,3,4,3,0,0,0,0,0,0,0,0,0
334,near,3,4,2,0,0,0,0,0,0,0,0,0
335,near,5,5,1,0,0,0,0,0,0,0,0,0
336,exact,1,2,2,0,0,0,0,0,0,0,0,0
338,exact,7,9,3,0,0,0,0,0,0,0,0,0
339,near,9,27,12,0,1,0,0,1,0,0,0,0
340,exact,8,13,5,0,0,0,0,0,0,0,0,0
343,near,7,10,4,0,0,0,0,0,0,0,0,0
344,near,5,5,1,0,0,0,0,0,0,0,0,0
345,exact,5,5,3,0,0,0,0,0,0,0,0,0
347,exact,1,2,2,0,0,0,0,0,0,0,0,0
348,far,9,33,13,4,5,2,4,5,2,4,5,1
349,exact,7,10,5,0,0,0,0,0,0,0,0,0
350,exact,2,3,5,0,0,0,0,0,0,0,0,0
351,exact,6,7,1,0,0,0,0,0,0,0,0,0
352,near,7,10,3,0,0,0,0,0,0,0,0,0
354,exact,8,19,9,0,0,0,0,0,0,0,0,0
355,near,1,2,2,0,0,0,0,0,0,0,0,0
356,exact,5,6,1,0,0,0,0,0,0,0,0,0
357,exact,7,10,2,0,0,0,0,0,0,0,0,0
359,exact,1,2,2,0,0,0,0,0,0,0,0,0
360,far,9,42,23,0,0,0,0,0,0,0,0,0
361,exact,6,8,3,0,0,0,0,0,0,0,0,0
362,exact,2,3,2,0,0,0,0,0,0,0,0,0
363,near,8,21,9,1,0,0,0,0,0,0,0,0
364,near,5,6,1,0,0,0,0,0,0,0,0,0
365,far,8,15,4,0,0,0,0,0,0,0,0,0
366,far,2,3,1,0,0,0,0,0,0,0,0,0
367,exact,2,3,3,0,0,0,0,0,0,0,0,0
370,near,3,4,1,0,0,0,0,0,0,0,0,0
371,near,2,3,1,0,0,0,0,0,0,0,0,0
372,exact,8,13,5,0,0,0,0,0,0,0,0,0
373,near,0,0,2,0,0,0,0,0,0,0,0,0
374,exact,9,50,23,1,2,3,3,2,2,1,1,1
375,exact,8,13,6,0,0,0,0,0,0,0,0,0
376,far,0,1,1,0,0,0,0,0,0,0,0,0
377,exact,5,5,4,0,0,0,0,0,0,0,0,0
378,exact,1,2,3,0,0,0,0,0,0,0,0,0
379,near,7,12,3,1,0,1,1,1,1,1,1,1
380,exact,0,1,4,0,0,0,0,0,0,0,0,0
381,near,5,5,1,0,0,0,0,0,0,0,0,0
382,near,9,34,6,1,1,1,1,1,1,1,1,0
383,exact,5,6,2,0,0,0,0,0,0,0,0,0
385,near,9,22,10,0,0,0,0,0,0,0,0,0
386,exact,6,7,7,0,0,0,0,0,0,0,0,0
387,exact,3,4,1,0,0,0,0,0,0,0,0,0
388,exact,5,6,2,0,0,0,0,0,0,0,0,0
390,near,5,6,2,0,0,0,0,0,0,0,0,0
391,exact,7,10,2,0,0,0,0,0,0,0,0,0
392,far,6,7,3,0,0,0,0,0,0,0,0,0
393,exact,5,5,5,0,0,0,0,0,0,0,0,0
394,near,8,19,4,0,0,0,0,0,0,0,0,0
395,exact,9,34,12,1,0,1,1,0,1,0,0,0
396,far,6,7,10,0,0,0,0,0,0,0,0,0
397,exact,1,2,3,0,0,0,0,0,0,0,0,0
398,exact,2,3,2,0,0,0,0,0,0,0,0,0
399,exact,9,28,7,0,0,0,0,0,0,0,0,0
400,exact,1,2,2,0,0,0,0,0,0,0,0,0
401,exact,8,19,3,0,0,0,0,0,0,0,0,0
402,near,2,3,1,0,0,0,0,0,0,0,0,0
404,far,8,21,5,0,0,0,0,0,0,0,0,0
405,exact,3,4,3,0,0,0,0,0,0,0,0,0
406,exact,9,27,16,0,2,3,0,1,2,0,1,3
407,exact,5,5,1,0,0,0,0,0,0,0,0,0
408,near,8,14,3,0,0,0,0,0,0,0,0,0
409,exact,9,77,24,2,2,2,2,2,2,3,1,2
410,exact,5,6,3,0,0,0,0,0,0,0,0,0
411,exact,2,3,1,0,0,0,0,0,0,0,0,0
412,near,8,18,9,3,3,4,3,3,3,3,3,4
413,near,2,3,1,0,0,0,0,0,0,0,0,0
414,near,1,2,1,0,0,0,0,0,0,0,0,0
415,exact,2,3,2,0,0,0,0,0,0,0,0,0
416,exact,6,7,2,1,1,1,1,1,1,1,1,1
417,near,3,4,1,0,0,0,0,0,0,0,0,0
419,exact,6,7,3,0,0,0,0,0,0,0,0,0
420,near,9,92,22,3,8,8,5,7,5,5,5,9
421,far,9,54,9,5,6,5,4,5,5,4,6,7
422,exact,5,6,1,0,0,0,0,0,0,0,0,0
423,exact,6,8,2,0,0,0,0,0,0,0,0,0
424,near,3,4,1,0,0,0,0,0,0,0,0,0
425,exact,2,3,3,0,0,0,0,0,0,0,0,0
426,near,7,12,1,0,0,0,0,0,0,0,0,0
427,near,7,9,4,0,0,0,0,0,0,0,0,0
428,exact,8,13,5,0,0,0,0,0,0,0,0,0
429,near,5,5,4,0,0,0,0,0,0,0,0,0
430,near,2,3,1,0,0,0,0,0,0,0,0,0
431,near,6,7,6,0,1,0,0,1,0,0,0,0
432,near,5,5,3,0,0,0,0,0,0,0,0,0
434,near,2,3,1,0,0,0,0,0,0,0,0,0
436,exact,5,6,2,0,0,0,0,0,0,0,0,0
437,near,6,8,2,0,0,0,0,0,0,0,0,0
440,far,2,3,1,0,0,0,0,0,0,0,0,0
442,exact,9,30,1,0,0,0,0,0,0,0,0,0
443,far,8,18,7,0,0,0,0,0,0,0,0,0
444,exact,9,23,12,1,0,1,0,0,0,0,0,0
445,exact,6,7,2,0,0,0,0,0,0,0,0,0
446,exact,0,1,2,0,0,0,0,0,0,0,0,0
447,far,1,2,4,1,0,1,0,0,0,0,1,1
448,near,8,13,7,1,0,1,1,1,1,1,0,1
449,exact,2,3,2,0,0,0,0,0,0,0,0,0
451,exact,0,1,1,0,0,0,0,0,0,0,0,0
452,exact,8,21,9,0,0,0,0,0,0,0,0,0
453,near,5,6,3,0,0,0,0,0,0,0,0,0
454,near,2,3,4,0,0,0,0,0,0,0,0,0
455,exact,6,8,2,0,0,0,0,0,0,0,0,0
456,far,2,3,1,0,0,0,0,0,0,0,0,0
457,near,9,22,17,0,0,1,0,0,0,1,0,0
458,near,3,4,1,0,0,0,0,0,0,0,0,0
459,exact,2,3,2,0,0,0,0,0,0,0,0,0
460,near,5,5,1,0,0,0,0,0,0,0,0,0
461,exact,1,2,1,0,0,0,0,0,0,0,0,0
462,exact,5,6,3,0,0,0,0,0,0,0,0,0
464,near,3,4,1,0,0,0,0,0,0,0,0,0
465,exact,2,3,2,0,0,0,0,0,0,0,0,0
467,near,5,5,1,0,0,0,0,0,0,0,0,0
468,near,6,7,1,0,0,0,0,0,0,0,0,0
469,near,9,58,11,0,0,0,0,1,0,0,1,0
470,exact,5,5,2,0,0,0,0,0,0,0,0,0
471,far,9,24,8,0,1,1,0,1,0,0,1,1
472,near,2,3,1,0,0,0,0,0,0,0,0,0
473,exact,5,5,1,0,0,0,0,0,0,0,0,0
474,near,5,5,3,0,0,0,0,0,0,0,0,0
475,exact,6,7,1,0,0,0,0,0,0,0,0,0
476,exact,2,3,3,0,0,0,0,0,0,0,0,0
477,exact,6,8,2,0,0,0,0,0,0,0,0,0
478,exact,9,29,11,0,0,0,0,0,0,0,0,0
479,near,5,6,1,0,0,0,0,0,0,0,0,0
480,exact,1,2,2,0,0,0,0,0,0,0,0,0
481,near,7,10,2,0,0,0,0,0,0,0,0,0
482,exact,1,2,1,0,0,0,0,0,0,0,0,0
483,near,1,2,2,0,0,0,0,0,0,0,0,0
484,exact,8,16,5,0,0,0,1,0,0,0,0,0
485,far,6,8,1,1,0,0,0,0,0,0,0,0
486,near,5,6,3,0,0,0,0,0,0,0,0,0
487,near,5,5,2,0,0,0,0,0,0,0,0,0
489,exact,8,21,11,0,1,0,0,1,0,0,1,0
490,exact,0,1,1,0,0,0,0,0,0,0,0,0
491,near,7,10,4,0,0,0,0,0,0,0,0,0
492,exact,8,14,5,0,0,0,0,0,0,0,0,0
493,exact,6,8,1,0,0,0,0,0,0,0,0,0
494,exact,2,3,2,0,0,0,0,0,0,0,0,0
495,exact,2,3,1,0,0,0,0,0,0,0,0,0
496,near,7,10,3,0,0,0,0,0,0,0,0,0
497,near,8,15,4,0,0,0,0,0,0,0,0,0
499,near,7,12,5,0,0,0,0,0,0,0,0,0
500,near,0,1,3,0,0,0,0,0,0,0,0,0
501,exact,5,5,3,0,0,0,0,0,0,0,0,0
502,near,2,3,6,0,0,0,0,0,0,0,0,0
503,exact,6,7,1,0,0,0,0,0,0,0,0,0
504,near,3,4,2,0,1,1,1,1,0,0,0,0
506,exact,6,7,2,0,0,0,0,0,0,0,0,0
507,near,1,2,2,0,0,0,0,0,0,0,0,0
508,near,9,30,10,0,0,0,0,0,0,0,0,1
509,near,0,1,2,0,0,0,0,0,0,0,0,0
511,far,8,18,8,0,0,0,0,0,0,0,0,0
512,exact,5,5,1,0,0,0,0,0,0,0,0,0
514,exact,2,3,1,0,0,0,0,0,0,0,0,0
515,far,5,6,3,0,0,0,0,0,0,0,0,0
516,far,9,26,4,2,3,3,2,3,3,3,3,3
517,near,3,4,2,0,0,0,0,0,0,0,0,0
518,exact,9,104,41,13,11,12,12,10,12,13,11,12
519,near,7,11,2,0,0,0,0,0,0,0,0,0
520,far,5,5,1,0,0,0,0,0,0,0,0,0
521,exact,3,4,1,0,0,0,0,0,0,0,0,0
522,exact,3,4,1,0,0,0,0,0,0,0,0,0
524,near,6,7,3,0,0,0,0,0,0,0,0,0
525,exact,6,8,1,0,0,0,0,0,0,0,0,0
526,far,3,4,1,0,0,0,0,0,0,0,0,0
527,near,9,25,7,0,0,1,0,0,1,0,0,1
528,near,5,5,7,0,0,0,0,0,0,0,0,0
529,far,7,10,10,0,0,0,0,0,0,0,0,0
530,exact,6,7,2,0,0,0,0,0,0,0,0,0
531,near,8,16,6,6,6,5,5,2,5,5,5,5
533,exact,2,3,1,0,0,0,0,0,0,0,0,0
534,exact,9,22,5,0,1,0,0,0,1,0,0,0
535,near,9,23,6,0,1,0,0,0,0,0,0,0
536,exact,6,7,1,0,0,0,0,0,0,0,0,0
537,near,8,15,4,0,0,1,0,0,0,0,0,0
539,near,9,34,12,0,0,0,0,0,0,0,0,0
541,far,5,6,2,0,0,0,0,0,0,0,0,0
542,exact,5,5,1,0,0,0,0,0,0,0,0,0
543,near,6,7,5,0,0,0,0,0,0,0,0,0
544,near,6,7,2,0,0,0,0,0,0,0,0,0
545,exact,5,6,6,0,0,0,0,0,0,0,0,0
546,exact,2,3,2,0,0,0,0,0,0,0,0,0
547,exact,5,6,2,0,0,0,0,0,0,0,0,0
551,exact,7,9,4,1,1,1,1,1,0,0,1,0
552,near,2,3,3,0,0,0,0,0,0,0,0,0
554,exact,5,5,4,0,0,0,0,0,0,0,0,0
555,near,7,9,5,0,0,0,0,0,0,0,0,0
556,near,7,12,3,0,0,0,0,0,0,0,0,0
557,near,1,2,1,0,0,0,0,0,0,0,0,0
558,exact,8,14,1,0,0,0,0,0,0,0,0,0
559,near,8,16,6,1,1,1,0,1,1,0,1,1
561,exact,5,5,2,0,0,0,0,0,0,0,0,0
562,near,2,3,3,2,2,1,2,1,1,1,2,1
564,exact,1,2,2,0,0,0,0,0,0,0,0,0
565,exact,5,6,9,0,0,0,0,0,0,0,0,0
