item,tier,pop_decile,train_pop,exposures,hits20_noobj_s0,hits20_noobj_s1,hits20_noobj_s2,hits20_control_s0,hits20_control_s1,hits20_control_s2,hits20_shufobj_s0,hits20_shufobj_s1,hits20_shufobj_s2
8961,exact,6,8,6,0,0,0,0,0,0,0,0,0
8962,exact,8,14,7,0,0,0,0,0,0,0,0,0
8964,near,0,1,4,0,0,0,0,0,0,0,0,0
8965,exact,6,7,4,0,0,0,0,0,0,0,0,0
8968,exact,6,7,1,0,0,0,0,0,0,0,0,0
8969,exact,5,6,3,0,0,0,0,0,0,0,0,0
8970,exact,3,4,1,0,0,0,0,0,0,0,0,0
8971,exact,2,3,2,0,0,0,0,0,0,0,0,0
8972,exact,5,6,1,0,0,0,0,0,0,0,0,0
8973,near,9,40,28,0,0,1,0,0,1,0,2,0
8974,near,8,16,7,0,0,0,0,0,0,0,0,0
8975,far,6,7,2,1,1,1,1,1,1,1,1,1
8977,exact,7,11,4,0,0,0,0,0,0,0,0,0
8978,exact,2,3,1,0,0,0,0,0,0,0,0,0
8979,far,9,26,10,5,5,5,6,5,6,4,5,4
8980,exact,6,7,3,0,1,1,0,0,0,0,0,0
8981,exact,8,15,5,0,0,0,0,0,0,0,0,0
8982,exact,1,2,3,0,0,0,0,0,0,0,0,0
8983,exact,5,6,2,0,0,0,0,0,0,0,0,0
8984,exact,1,2,1,0,0,0,0,0,0,0,0,0
8985,exact,3,4,1,0,0,0,0,0,0,0,0,0
8986,exact,5,5,3,0,0,0,0,0,0,0,0,0
8987,exact,9,29,11,0,0,0,1,0,0,0,0,0
8988,exact,5,5,1,0,0,0,0,0,0,0,0,0
8990,exact,6,7,1,0,0,0,0,0,0,0,0,0
8991,exact,3,4,1,0,0,0,0,0,0,0,0,0
8992,near,3,4,1,0,0,0,0,0,0,0,0,0
8993,near,2,3,1,0,0,0,0,0,0,0,0,0
8994,near,8,14,3,0,0,0,0,0,0,0,0,0
8995,exact,1,2,2,0,0,0,0,0,0,0,0,0
8996,near,1,2,2,0,0,0,0,0,0,0,0,0
8997,near,1,2,2,0,0,0,0,0,0,0,0,0
