method,auc,ap,auc_uniform,auc_std
adamic_adar,0.7437629245920436,0.7461505877541137,0.9561250089576382,
common_neighbors,0.7191990016072562,0.7242051260386744,0.9454595012387134,
preferential_attachment,0.6574120935791651,0.6763387640035387,0.9242575717634773,
raw_minilm_cosine,0.617402963186667,0.6023665771878403,0.6919880965786942,
untrained_sage,0.6098529539730964,0.591135885213036,0.716690830961692,0.01116647708105688
