arm,epoch,n_seeds,loss_mean,loss_std
LATTICE (image+text),115,3,1.02175,0.00684
LATTICE (image+text),116,3,1.00331,0.02231
LATTICE (image+text),117,3,0.97663,0.01147
LATTICE (image+text),118,3,0.94018,0.00519
LATTICE (image+text),119,3,0.94468,0.0128
LATTICE (image+text),120,3,0.91653,0.02175
LATTICE (image+text),121,3,0.90016,0.01822
LATTICE (image+text),122,3,0.8622,0.01394
LATTICE (image+text),123,3,0.86309,0.02385
LATTICE (image+text),124,3,0.83392,0.01536
LATTICE (image+text),125,3,0.81587,0.01282
LATTICE (image+text),126,3,0.79394,0.00755
LATTICE (image+text),127,3,0.78259,0.01618
LATTICE (image+text),128,3,0.77154,0.00755
LATTICE (image+text),129,3,0.7633,0.01321
LATTICE (image+text),130,3,0.74651,0.01974
LATTICE (image+text),131,3,0.72183,0.01914
LATTICE (image+text),132,3,0.71654,0.01942
LATTICE (image+text),133,3,0.70965,0.01565
LATTICE (image+text),134,3,0.67201,0.00958
LATTICE (image+text),135,3,0.67725,0.02604
LATTICE (image+text),136,3,0.67441,0.00921
LATTICE (image+text),137,3,0.64898,0.01826
LATTICE (image+text),138,3,0.63266,0.0153
LATTICE (image+text),139,3,0.62849,0.00562
LATTICE (image+text),140,3,0.61108,0.01217
LATTICE (image+text),141,3,0.60517,0.01378
LATTICE (image+text),142,3,0.6009,0.017
LATTICE (image+text),143,3,0.58193,0.01318
LATTICE (image+text),144,3,0.57691,0.00933
LATTICE (image+text),145,3,0.56714,0.0076
LATTICE (image+text),146,3,0.55522,0.01988
LATTICE (image+text),147,3,0.54391,0.02357
LATTICE (image+text),148,3,0.53959,0.01772
LATTICE (image+text),149,3,0.52353,0.01601
LATTICE (image+text),150,3,0.52055,0.01164
LATTICE + object graph,0,3,103.08037,0.00437
LATTICE + object graph,1,3,100.84442,0.0075
LATTICE + object graph,2,3,98.24475,0.00789
LATTICE + object graph,3,3,95.3071,0.01361
LATTICE + object graph,4,3,91.94913,0.02009
LATTICE + object graph,5,3,88.24916,0.02743
LATTICE + object graph,6,3,84.26155,0.06731
LATTICE + object graph,7,3,80.04028,0.0432
LATTICE + object graph,8,3,75.69833,0.07521
LATTICE + object graph,9,3,71.45693,0.09921
LATTICE + object graph,10,3,67.20976,0.05579
LATTICE + object graph,11,3,63.17195,0.0814
LATTICE + object graph,12,3,59.2478,0.08478
LATTICE + object graph,13,3,55.58227,0.13618
LATTICE + object graph,14,3,52.14892,0.03904
LATTICE + object graph,15,3,48.93782,0.09606
LATTICE + object graph,16,3,45.97462,0.09567
LATTICE + object graph,17,3,43.13385,0.085
LATTICE + object graph,18,3,40.5312,0.08105
LATTICE + object graph,19,3,38.11039,0.05496
LATTICE + object graph,20,3,35.80619,0.01848
LATTICE + object graph,21,3,33.69363,0.06274
LATTICE + object graph,22,3,31.76854,0.12811
LATTICE + object graph,23,3,29.91561,0.11839
LATTICE + object graph,24,3,28.26506,0.04756
LATTICE + object graph,25,3,26.63548,0.06164
LATTICE + object graph,26,3,25.19715,0.05553
LATTICE + object graph,27,3,23.81009,0.05401
LATTICE + object graph,28,3,22.51539,0.06764
LATTICE + object graph,29,3,21.34417,0.067
LATTICE + object graph,30,3,20.16707,0.09544
LATTICE + object graph,31,3,19.17039,0.03586
LATTICE + object graph,32,3,18.14409,0.09494
LATTICE + object graph,33,3,17.28433,0.07423
LATTICE + object graph,34,3,16.3147,0.01994
LATTICE + object graph,35,3,15.56555,0.03539
LATTICE + object graph,36,3,14.77738,0.02849
LATTICE + object graph,37,3,14.08828,0.0411
LATTICE + object graph,38,3,13.44074,0.00497
LATTICE + object graph,39,3,12.7216,0.10786
LATTICE + object graph,40,3,12.1578,0.04463
LATTICE + object graph,41,3,11.61461,0.03422
LATTICE + object graph,42,3,11.05478,0.03747
LATTICE + object graph,43,3,10.62762,0.03979
LATTICE + object graph,44,3,10.11508,0.04517
LATTICE + object graph,45,3,9.58416,0.02581
LATTICE + object graph,46,3,9.24359,0.02842
LATTICE + object graph,47,3,8.84733,0.0717
LATTICE + object graph,48,3,8.45863,0.08387
LATTICE + object graph,49,3,8.10689,0.0432
LATTICE + object graph,50,3,7.75559,0.03597
LATTICE + object graph,51,3,7.45948,0.02056
LATTICE + object graph,52,3,7.13177,0.02595
LATTICE + object graph,53,3,6.82752,0.04218
LATTICE + object graph,54,3,6.57219,0.00681
LATTICE + object graph,55,3,6.32291,0.01363
LATTICE + object graph,56,3,6.04081,0.01879
LATTICE + object graph,57,3,5.8379,0.05077
LATTICE + object graph,58,3,5.5905,0.03331
LATTICE + object graph,59,3,5.35972,0.02817
LATTICE + object graph,60,3,5.1536,0.03799
LATTICE + object graph,61,3,4.9922,0.02523
LATTICE + object graph,62,3,4.79684,0.05476
LATTICE + object graph,63,3,4.6334,0.02854
LATTICE + object graph,64,3,4.45403,0.01625
LATTICE + object graph,65,3,4.32665,0.01861
LATTICE + object graph,66,3,4.1803,0.02543
LATTICE + object graph,67,3,4.01681,0.01058
LATTICE + object graph,68,3,3.86829,0.04013
LATTICE + object graph,69,3,3.7216,0.02931
LATTICE + object graph,70,3,3.61091,0.01366
LATTICE + object graph,71,3,3.48402,0.04109
LATTICE + object graph,72,3,3.40672,0.0275
LATTICE + object graph,73,3,3.25546,0.03981
LATTICE + object graph,74,3,3.13993,0.02825
LATTICE + object graph,75,3,3.0425,0.00774
LATTICE + object graph,76,3,2.95566,0.04413
LATTICE + object graph,77,3,2.84525,0.02592
LATTICE + object graph,78,3,2.77269,0.01151
LATTICE + object graph,79,3,2.65701,0.04596
LATTICE + object graph,80,3,2.56242,0.01596
LATTICE + object graph,81,3,2.5087,0.02446
LATTICE + object graph,82,3,2.42381,0.02821
LATTICE + object graph,83,3,2.3605,0.03838
LATTICE + object graph,84,3,2.30264,0.01709
LATTICE + object graph,85,3,2.25833,0.03008
LATTICE + object graph,86,3,2.15571,0.0242
LATTICE + object graph,87,3,2.10963,0.02806
LATTICE + object graph,88,3,2.04698,0.01317
LATTICE + object graph,89,3,1.99134,0.03233
