arm,seed,epoch,loss,bpr_loss,emb_loss,epoch_seconds
LATTICE (image+text),0,83,2.32852,2.30305,0.02547,3.3
LATTICE (image+text),0,84,2.28115,2.25547,0.02568,3.3
LATTICE (image+text),0,85,2.24856,2.22271,0.02585,3.3
LATTICE (image+text),0,86,2.09398,2.06795,0.02602,3.3
LATTICE (image+text),0,87,2.05713,2.03096,0.02617,3.3
LATTICE (image+text),0,88,2.00707,1.98074,0.02633,3.3
LATTICE (image+text),0,89,1.9321,1.90566,0.02644,3.3
LATTICE (image+text),0,90,1.87793,1.85134,0.02659,3.3
LATTICE (image+text),0,91,1.85362,1.82681,0.02681,3.3
LATTICE (image+text),0,92,1.77055,1.74358,0.02697,3.3
LATTICE (image+text),0,93,1.7238,1.69665,0.02715,3.3
LATTICE (image+text),0,94,1.68873,1.66146,0.02727,3.3
LATTICE (image+text),0,95,1.66159,1.63419,0.02741,3.3
LATTICE (image+text),0,96,1.59186,1.56434,0.02753,3.3
LATTICE (image+text),0,97,1.54344,1.51569,0.02775,3.3
LATTICE (image+text),0,98,1.54498,1.51715,0.02784,3.3
LATTICE (image+text),0,99,1.47094,1.44295,0.02799,3.3
LATTICE (image+text),0,100,1.43137,1.40322,0.02815,3.3
LATTICE (image+text),0,101,1.39987,1.37159,0.02828,3.3
LATTICE (image+text),0,102,1.38485,1.35641,0.02844,3.3
LATTICE (image+text),0,103,1.3164,1.28783,0.02857,3.3
LATTICE (image+text),0,104,1.28237,1.25366,0.0287,3.3
LATTICE (image+text),0,105,1.25284,1.22397,0.02887,3.3
LATTICE (image+text),0,106,1.21645,1.18746,0.02899,3.3
LATTICE (image+text),0,107,1.21443,1.18527,0.02916,3.3
LATTICE (image+text),0,108,1.16482,1.13555,0.02927,3.3
LATTICE (image+text),0,109,1.18351,1.15413,0.02938,3.3
LATTICE (image+text),0,110,1.12073,1.09125,0.02948,3.3
LATTICE (image+text),0,111,1.12418,1.09455,0.02963,3.3
LATTICE (image+text),0,112,1.08461,1.05484,0.02977,3.3
LATTICE (image+text),0,113,1.03333,1.00346,0.02987,3.3
LATTICE (image+text),0,114,1.02013,0.99011,0.03002,3.3
LATTICE (image+text),0,115,1.02221,0.99205,0.03016,3.3
LATTICE (image+text),0,116,0.98155,0.95132,0.03023,3.3
LATTICE (image+text),0,117,0.96345,0.93302,0.03043,3.3
LATTICE (image+text),0,118,0.9369,0.90648,0.03042,3.3
LATTICE (image+text),0,119,0.93462,0.90401,0.03061,3.3
LATTICE (image+text),0,120,0.89486,0.86413,0.03073,3.3
LATTICE (image+text),0,121,0.9047,0.87383,0.03087,3.3
LATTICE (image+text),0,122,0.847,0.81603,0.03098,3.3
LATTICE (image+text),0,123,0.83632,0.8052,0.03112,3.2
LATTICE (image+text),0,124,0.81624,0.78502,0.03122,3.3
LATTICE (image+text),0,125,0.82612,0.7948,0.03132,3.3
LATTICE (image+text),0,126,0.78524,0.75382,0.03142,3.3
LATTICE (image+text),0,127,0.77314,0.7416,0.03154,3.3
LATTICE (image+text),0,128,0.763,0.73139,0.03161,3.3
LATTICE (image+text),0,129,0.7484,0.71665,0.03175,3.3
LATTICE (image+text),0,130,0.73204,0.70019,0.03185,3.3
LATTICE (image+text),0,131,0.72214,0.69022,0.03192,3.3
